label,desc,total_pnl,avg_pnl,median_pnl,worst_day,best_day,win_rate,plus_days,trade_count
Baseline,"現在の設定（SHORT_STOP=0.55%, 昼11:20手仕まい）",384200,6403,2500,-31400,105400,53.0,32,264
①mktDownOnly,"①下落相場限定ショート（戻り売りもmktDown必須）",384200,6403,2500,-31400,105400,53.0,32,264
②cooldown10,"②ショート損切り後10本クールダウン",384200,6403,2500,-31400,105400,53.0,32,264
②cooldown20,"②ショート損切り後20本クールダウン",384200,6403,2500,-31400,105400,53.0,32,264
②cooldown30,"②ショート損切り後30本クールダウン",384200,6403,2500,-31400,105400,53.0,32,264
③openBias0.3%,"③寄り付き±0.3%超で逆方向禁止",189750,3163,2100,-35300,46500,54.4,32,206
③openBias0.5%,"③寄り付き±0.5%超で逆方向禁止",162150,2703,1800,-35300,46500,52.8,31,218
③openBias1.0%,"③寄り付き±1.0%超で逆方向禁止",134250,2238,1600,-35300,46500,53.0,30,234
①+②c20,"①下落相場限定 + ②20本クールダウン",384200,6403,2500,-31400,105400,53.0,32,264
①+③0.5%,"①下落相場限定 + ③寄り付き0.5%ゲート",162150,2703,1800,-35300,46500,52.8,31,218
②c20+③0.5%,"②20本クールダウン + ③寄り付き0.5%ゲート",162150,2703,1800,-35300,46500,52.8,31,218
①+②c20+③0.5%,"①+②+③全組み合わせ",162150,2703,1800,-35300,46500,52.8,31,218