date,symbol,name,entryTime,exitTime,profit,lossPercent,rsiAtEntry,pre5Change,pre3Change,pre1Change,volRatio,marketBias,post1Change,post3Change,maxAdverse,marketEff,isRangeBound
2026-03-27,6981,"村田製作所",09:50,10:11,-10000,0.687,38.2381793459306,-0.055,-0.082,-0.082,1.174,-0.00694,0.082,0.137,0.714,0.388,false
2026-05-15,3778,"さくらインターネット",10:22,10:40,-10000,0.812,48.61401018924346,0.163,0.163,0.163,1.616,-0.01064,0.000,-0.162,0.974,0.552,false
2026-05-12,6976,"太陽誘電",10:58,11:07,-9200,0.698,37.09575294978009,-0.182,-0.317,-0.151,1.017,-0.01230,0.061,0.455,0.698,0.442,false
2026-05-15,6976,"太陽誘電",10:32,10:33,-9200,0.654,42.59540899294565,-0.170,0.371,0.486,1.328,-0.01373,0.654,0.000,0.654,0.552,false
2026-05-15,6981,"村田製作所",10:34,10:36,-8600,0.676,46.059548312237474,0.680,0.872,0.047,1.707,-0.00982,0.236,0.000,0.739,0.552,false
2026-03-17,6981,"村田製作所",09:57,10:01,-8000,0.545,36.53653313977611,-0.190,-0.163,0.082,1.122,-0.01231,0.082,0.354,0.572,0.656,false
2026-04-24,3778,"さくらインターネット",10:21,10:55,-8000,0.564,42.03936302664449,-0.141,-0.141,0.283,2.661,-0.00527,0.000,0.141,0.564,0.471,false
2026-05-26,3778,"さくらインターネット",10:34,10:46,-8000,0.651,40.148876986716886,0.163,0.000,0.327,6.149,-0.01334,0.000,0.000,0.651,0.563,false
2026-04-24,6976,"太陽誘電",10:02,10:26,-7800,0.603,46.25311983469888,-0.031,0.108,-0.015,1.932,-0.00656,0.077,-0.077,0.603,0.471,false
2026-03-23,3436,"SUMCO",10:00,10:05,-7650,0.549,35.41784615372055,-0.097,-0.193,-0.065,1.392,-0.01668,0.420,0.291,0.581,0.428,false
2026-03-04,6976,"太陽誘電",10:25,10:34,-7200,0.568,35.567853046568956,0.166,0.332,0.047,1.819,-0.01530,0.355,0.189,0.568,0.306,false
2026-04-08,6981,"村田製作所",10:20,10:28,-7200,0.610,39.28223732139362,-0.253,-0.253,0.102,0.945,-0.00684,-0.152,0.076,0.610,0.585,false
2026-04-23,6976,"太陽誘電",10:45,11:06,-7200,0.598,40.90058385483228,0.200,0.066,-0.066,2.123,-0.01100,-0.166,-0.100,0.598,0.488,false
2026-03-27,3778,"さくらインターネット",09:55,10:11,-7000,0.531,41.774814143361496,0.000,-0.151,0.038,0.829,-0.00552,0.038,-0.038,0.568,0.388,false
2026-04-24,6981,"村田製作所",10:19,10:54,-5400,0.549,36.26576497591156,0.041,0.061,0.041,1.128,-0.00570,-0.081,-0.081,0.610,0.471,false
2026-05-26,6981,"村田製作所",09:59,10:01,-4800,0.596,50.28831495831866,0.412,0.738,-0.099,1.702,-0.00637,0.248,0.000,0.783,0.563,false
2026-05-27,6981,"村田製作所",10:38,10:40,-4400,0.554,38.768977599252175,-0.326,0.164,0.214,1.236,-0.01919,0.164,0.000,0.604,0.619,false