stopPercent,totalProfit,avgPerDay,medianPerDay,winRate,posDays,negDays,worstDay,daysOver15k
0.5,107550,1793,-1700,0.5180,27,31,-72400,15
0.75,91700,1528,-3000,0.5317,25,32,-75200,18
1,10250,171,-7250,0.5291,25,33,-88350,17
1.25,40000,667,-5175,0.5320,26,32,-88350,18
1.5,2700,45,-5175,0.5352,26,32,-90150,17
1.75,-18400,-307,-5175,0.5333,26,32,-88150,17
2,-57300,-955,-5175,0.5313,26,32,-89450,17
2.25,-83050,-1384,-5175,0.5303,26,32,-103400,17
2.5,-97750,-1629,-5175,0.5322,26,32,-110600,17
2.75,21000,350,-5175,0.5377,26,32,-84800,18
3,12800,213,-5175,0.5377,26,32,-84800,18